Qty,Reference(s),Value,Digi-Key Part Number,Notes
1,C9,100nF,1276-6840-1-ND,
4,"D1, D2, D3, D4",MMSZ5226B,MMSZ5226B-FDICT-ND,"Optional, see schematic"
2,"J2, J3",Conn_01x19,S7017-ND,
1,J4,DC/DC,732-2066-ND,"Optional, see schematic"
1,J4B1,DC/DC,732-2042-ND,
1,J5,12VIN,732-2064-ND,
1,J5B1,12VIN,732-2040-ND,
2,"J6, J7","LED1/2, LED3/4",2057-PH2RA-06-UA-ND,
1,J9,I2C/PWM,2057-PH2RA-08-UA-ND,
2,"R1, R2",1.5K,RMCF0805FT1K50CT-ND,
2,"R3, R4",10K,RMCF0805FT10K0CT-ND,
1,SW1,WIFI ENABLE,401-1999-1-ND,
1,U1,LM2596S_MODULE_NO_SCREWS,106990003-ND,
1,U2,ESP32-DEVKITC-32E,1965-ESP32-DEVKITC-32E-ND,
1,U6,74LS125,296-1637-1-ND,
